"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C7";"C_1206_HandSoldering";1;"150uF 6.3V";;;
2;"JP15";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Jumper_NC_Dual";;;
3;"FID**,FID**,FID**,FID**,FID**,FID**,FID**,FID**";"fiducial_i.5mm_o1.5mm";8;"fiducial_i.5mm_o1.5mm";;;
4;"REF**,REF**,REF**,REF**";"MountingHole_4.3mm_M4_Pad_Via";4;"MountingHole_4.3mm_M4_Pad_Via";;;
5;"C12,C8,C9,C10,C11,C13";"CP_Elec_10x10";6;"DNP";;;
6;"BT1";"SMTU-2032-LF";1;"CR2032";;;
7;"C1";"C_1206_HandSoldering";1;"1uF 6.3V";;;
8;"C2";"C_1206_HandSoldering";1;"22uF 25V";;;
9;"C3,C6";"C_1206_HandSoldering";2;"4.7uF 6.3V";;;
10;"C4";"C_1206_HandSoldering";1;"0.1uF 10V";;;
11;"C5";"C_1206_HandSoldering";1;"22uF 6.3V";;;
12;"IC1";"QFN-32-1EP_5x5mm_Pitch0.5mm";1;"LTC3331";;;
13;"J1,J6,J11";"Pin_Header_Straight_1x04_Pitch2.54mm";3;"CONN_01X04";;;
14;"J2,J3,J4,J7,J8,J9,J12,J13,J14";"Pin_Header_Straight_1x03_Pitch2.54mm";9;"CONN_01X03";;;
15;"J5";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"CONN_01X02";;;
16;"J10";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"CONN_01X02_FEMALE";;;
17;"J15";"Pin_Header_Straight_2x12_Pitch2.54mm";1;"CONN_02X12";;;
18;"J16,J17,J18,J19";"Pin_Header_Straight_2x08_Pitch2.54mm";4;"CONN_02X08";;;
19;"J20";"Pin_Header_Straight_2x04_Pitch2.54mm";1;"CONN_02X04";;;
20;"JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,JP9,JP10,JP11,JP12,JP13,JP14,JP16,JP17,JP18,JP19";"Pin_Header_Straight_1x02_Pitch2.54mm";18;"Jumper";;;
21;"L1,L2";"Inductor_Wurth_HCI-1890";2;"22uH";;;
22;"R1";"R_1206_HandSoldering";1;"3K";;;
23;"R2";"R_1206_HandSoldering";1;"10";;;
24;"R3";"R_1206_HandSoldering";1;"100";;;
25;"U1,U2";"SOT-363_SC-70-6_Handsoldering";2;"NC7SZ58";;;
26;"REF***";"OSHW-Logo2_14.6x12mm_SilkScreen";1;"OSHW-Logo2_14.6x12mm_SilkScreen";;;
27;"REF**";"Symbol_KiCAD-Logo_CopperAndSilkScreenTop";1;"KiCAD Logo";;;
